customer_id,name,phone,tenure_months,complaints,support_calls,login_frequency,monthly_expenditure,plan_type,join_date,churn,churn_score
1,"Rahul Sharma",9800000001,6,5,6,3,15000.00,Standard,2026-03-07,1,91.00
2,"Priya Verma",9800000002,18,2,2,12,28000.00,Premium,2025-03-07,1,54.00
3,"Ananya Iyer",9800000003,42,0,0,28,48000.00,Platinum,2023-03-07,0,8.00
4,"Vikram Singh",9800000004,3,6,8,2,12000.00,Basic,2026-06-07,1,95.00
5,"Neha Kapoor",9800000005,24,1,1,20,35000.00,Premium,2024-09-07,0,38.00
6,"Arjun Mehta",9800000006,9,4,5,4,18000.00,Standard,2025-12-07,1,83.00
7,"Sneha Reddy",9800000007,36,0,1,25,42000.00,Platinum,2023-09-07,0,6.00
8,"Karan Malhotra",9800000008,4,5,7,2,10000.00,Basic,2026-05-07,1,93.00
9,"Divya Nair",9800000009,15,3,3,10,25000.00,Standard,2025-06-07,0,48.00
10,"Rohan Gupta",9800000010,30,0,0,22,40000.00,Premium,2024-03-07,0,10.00
11,"Ishita Joshi",9800000011,2,4,5,1,8000.00,Basic,2026-07-07,1,97.00
12,"Aditya Kumar",9800000012,48,0,0,27,50000.00,Platinum,2022-09-07,0,4.00
13,"Pooja Desai",9800000013,12,3,4,8,20000.00,Standard,2025-09-07,0,45.00
14,"Manish Tiwari",9800000014,7,5,6,3,14000.00,Basic,2026-02-07,1,88.00
15,"Kavya Rao",9800000015,20,1,2,15,30000.00,Premium,2024-12-07,0,33.00
16,"Siddharth Jain",9800000016,5,6,7,2,11000.00,Basic,2026-04-07,1,90.00
17,"Meera Pillai",9800000017,33,0,1,24,45000.00,Platinum,2023-12-07,0,9.00
18,"Aryan Chopra",9800000018,10,4,5,5,16000.00,Standard,2025-11-07,1,80.00
19,"Tanya Bhatt",9800000019,27,1,1,18,32000.00,Premium,2024-06-07,0,30.00
20,"Yash Agarwal",9800000020,1,5,6,1,9000.00,Basic,2026-08-07,1,96.00
21,"Rachana Malhotra",9800000021,40,2,2,22,40400.00,Platinum,2023-05-07,0,1.00
22,"Kavya Sethi",9800000022,42,1,1,26,41900.00,Platinum,2023-03-07,0,1.00
23,"Yash Tiwari",9800000023,46,1,3,22,51100.00,Platinum,2022-11-07,0,1.00
24,"Vidya Bhandari",9800000024,41,2,2,20,45400.00,Platinum,2023-04-07,0,11.66
25,"Anand Bose",9800000025,37,1,2,18,37300.00,Premium,2023-08-07,0,9.11
